ID,elv,wtemp,atemp,ph,ec,SiO2,B,Al,Fe,Ca,Mg,Na,K,Li,As,NH4,F,Cl,SO4,HCO3
HDul1,48,37.6,29.6,7.46,1906,40.29,0.12,0.07,0.06,323.1,2.76,181.4,2.25,0.01,0,0.01,0.14,147.6,836.17,71.56
HDul2,49,37.8,32.3,7.96,2003,41.72,0,0.14,0.07,271.9,2.24,180.3,2.36,0.02,0,0.01,1.35,146.6,796.31,71.79
HPoh1,226,52.8,25.4,6.92,15290,145.18,38.91,0.14,2.83,176,35.17,2457,253.89,10.99,0,1.55,2.25,2800.38,670.75,1735.34
HPoh2,193,55.5,26.9,7.4,17990,148.05,44.92,0.14,2.7,263.9,59.25,2594,265,11.84,0,1.49,1.44,3173.59,751.4,1839.33
HDil1,62,60.9,30.6,6.94,4640,69.74,5.85,0.07,0.08,130.1,4.59,497.4,5.76,0.19,1,0.1,2,665.94,360.47,78.79
HDil2,83,52.9,30.2,7.6,4080,61.12,6.05,0.14,0.06,164,3.67,503.64,5.47,0.5,1,0.07,1.85,750.1,334.14,66.97
HDil3,74,39.1,29.6,7.42,4540,45.32,8.85,0.14,0.06,231.5,1.87,696.4,7.39,0.73,1,0,2.83,1120.78,253.89,26.84
HTu,51,52,29.2,6.87,1420,67.59,0.69,0.14,0.08,44.12,18.5,318.8,3.76,0.17,0.5,0.02,0.61,126.6,300.24,538.54
Cbo,48,25.4,28.7,6.67,1502,67.93,0,0.07,0.08,250.3,31.65,74.5,7.45,0.07,0,0.27,0,25,625.48,217.34
Cpoh,272,22.1,27.3,7.3,98,31.67,0,0.14,0.13,7.44,0.52,6.43,0.69,0.01,0,0.01,0.07,4,6,28.21
Cdil,106,24.6,27.8,6.58,292,74.05,0,0.14,0.08,58.19,8.8,10.13,1.2,0.01,0,0.32,1.12,27.45,25.51,170.29
